policy_id,source_run_id,label,persona,objective,intended_use,algorithm,training_technique,is_best_in_category,notes,manifest_path,model_path,model_artifact_path,environment_fingerprint,reward_config_hash,timesteps_completed,success_rate,mean_goal_steps,median_goal_steps,updated_at
safe-docker-smoke-v1,20260512T192334Z-ppo-smoke-validation-d6c2e5bb,ppo-smoke-validation,safe,,,,ppo_smoke_validation,false,,models/ppo_smoke_agent.manifest.json,models/ppo_smoke_agent.zip,models/ppo_smoke_agent.zip,674b8616989aeaa26367a66c64dce6b9ff3fd8925d5dc8ce50b2e4519c78e181,b8a8fb50af5e8d18ce13c55e7178b76264027c9dbcc0ef8fad4c55296d95a882,64,,,,2026-05-12T19:23:51Z
safe-docker-baseline-v1,20260512T193636Z-safe-docker-baseline-v1-8750b1cc,Safe Docker Baseline V1,safe,Dock reliably without high-speed goal entries,Reference safe docking baseline for reward tuning and regression checks,PPO,ppo_reward_baseline,true,Promoted after the first longer PPO baseline run.,models/safe_docker_baseline_v1/manifest.json,models/safe_docker_baseline_v1,models/safe_docker_baseline_v1/policy.zip,674b8616989aeaa26367a66c64dce6b9ff3fd8925d5dc8ce50b2e4519c78e181,b8a8fb50af5e8d18ce13c55e7178b76264027c9dbcc0ef8fad4c55296d95a882,4096,0.0,,,2026-05-12T19:45:50Z
